一一	1.1
一丁	1.12
一万	1.153
一丈	1.134
一上	1.21
一下	1.124
一不	1.1324
一世	1.185
一丝	1.55551
一两	1.1253
一两	1.125344
一个	1.342
一中	1.802
一举	1.643
一举	1.643412
一事	1.180
一事	1.180012
一二	1.11
一五	1.1251
一些	1.21351
一些	1.213511
一亩	1.4183
一人	1.34
一亿	1.325
一介	1.3432
一代	1.32154
一件	1.3231
一价	1.3234
一价	1.323432
一任	1.32319
一份	1.32345
一份	1.323453
一休	1.3212
一伙	1.3269
一会	1.341
一会	1.341154
一传	1.32115
一传	1.321154
一伸	1.3283
一位	1.3261
一体	1.32121
一例	1.32132
一例	1.321322
一侧	1.3228
一侧	1.322822
一倍	1.326
一倍	1.326180
一做	1.321
一做	1.321280
一元	1.1135
一兆	1.34153
一兆	1.341534
一克	1.12803
一克	1.128035
一党	1.243
一党	1.2435
一共	1.1834
一关	1.4334
一具	1.273
一具	1.2734
一册	1.35351
一再	1.1252
一再	1.125211
一准	1.41324
一准	1.413241
一出	1.02
一击	1.1120
一刀	1.53
一分	1.345
一分	1.3453
一切	1.1553
一划	1.1534
一划	1.153422
一列	1.1322
一则	1.282
一则	1.2822
一别	1.8053
一别	1.805322
一刹	1.34122
一刹	1.341222
一刻	1.41533
一刻	1.415332
一副	1.1808
一副	1.180832
一动	1.11545
一动	1.115453
一勺	1.354
一包	1.355
一包	1.35515
一匹	1.1355
一区	1.1345
一十	1.12
一千	1.312
一半	1.432
一单	1.4381
一单	1.438112
一卡	1.2124
一卷	1.4355
一厘	1.13812
一厘	1.138121
一去	1.1954
一双	1.5454
一反	1.3354
一发	1.535
一发	1.53544
一变	1.665
一变	1.6654
一口	1.80
一句	1.3580
一只	1.803
一只	1.8034
一台	1.548
一台	1.5480
一叶	1.8012
一号	1.8015
一同	1.25
一同	1.25180
一名	1.90
一名	1.9080
一向	1.3258
一向	1.32580
一听	1.8033
一吹	1.80353
一吹	1.803534
一吻	1.803533
一吼	1.8058
一吼	1.80585
一员	1.8028
一周	1.3519
一周	1.351980
一味	1.80112
一品	1.8080
一品	1.808080
一哥	1.1802
一哥	1.180212
一回	1.258
一回	1.25801
一团	1.25123
一团	1.251231
一国	1.2
一国	1.251141
一圈	1.254
一圈	1.254351
一场	1.1953
一场	1.19533
一坐	1.343
一坐	1.343419
一块	1.1951
一块	1.195134
一型	1.782
一型	1.782219
一城	1.1913
一城	1.191354
一堂	1.2419
一堆	1.1932
一堆	1.193241
一声	1.1952
一声	1.195213
